question,answer,book,chapter,paragraph
What conditions is this substance used to treat in a drinkable form?,"In a drinkable form it is used inArsha haemorrhoids,Agnisada dyspepsia,Ashma renal calculus,Gulma Tumors of the abdomenUdara ascites, enlargement of the abdomenGaravisha chronic poisoning etc.",Ashtanga Hridaya,30,7
"What are some conditions related to skin diseases, anesthetic patches, rectal fistula, cancerous growth, tumors or fibroids, and foul ulcers?","Kushta skin diseasesSupti anesthetic patches,Bhagandara rectal fistula,Arbuda cancerous growth,Granthi tumour, fibroidDushta Nadi vrana foul and sinus ulcers etc.",Ashtanga Hridaya,30,13
"question What treatment is suggested for diseases that are difficult to cure, including those related to Vata, Kapha, Medas fat, Arbuda cancerous growth, and others?, answer Teekshna Kshara Alkali of strong potency should be used in these diseases., question What treatment is recommended for diseases that are of moderate strength, not very difficult to cure?, answer Madhyama Kshara alkali of medium potency is useful in those diseases.","Teekshna Kshara Alkali of strong potency should be used in diseases arising from Vata,Kapha, Medas fat,Arbuda cancerous growth and such others which are very difficult to cure,Madhyama Kshara alkali of medium potency is useful in those diseases when they are ofmoderate strength, not very difficult to cure",Ashtanga Hridaya,30,31
"What treatment is recommended for conditions related to Pitta, Asra Rakta, or hemorrhoids?","Mrudu Kshara Mild alkali is used In diseasesarising from Pitta and Asra Rakta and heamorrhoids,",Ashtanga Hridaya,30,31
"What are the symptoms for good burning due to Kshara, and what are the opposite symptoms?","Symptoms of good burning due to Kshara Attaining black color, similar to the ripe fruit ofJambu Jamun fruit,depression of the site are the feature of a samyag dagdha.The opposite of it, that is appearance ofTamravarna coppery red color,pricking pain, itching etc",Ashtanga Hridaya,30,53
What treatment methods are suggested for a burn caused by Alkali according to Ayurveda?,"In such conditions, burning the part with sour fluids, applications of paste of honey, ghee and Tilasesame,activities foods other comforts which mitigate Vata and Pitta and all others which produce cold,should be adopted.As sour is cold to touch, combining with the Alkali it quickly attains the properties of sweet taste,hence the burn caused by Alkali should be washed with sour substances quickly",Ashtanga Hridaya,30,60
What are the symptoms of Slishtavartmaexudative disease of the eyelids?,"Slishtavartmaexudative disease of the eyelids, bleeding, blue mole, improper cutting surgicalwound etc",Ashtanga Hridaya,30,74
"What is the recommended treatment for Durdagdha, a condition of improper burning clod?","In case of Durdagdha improper burning clod and hot treatment should be used, the hot one firstand the cold one next",Ashtanga Hridaya,30,97
What treatment is recommended for Samyagdgdahaproper burning?,"In case of Samyagdgdaha proper burning, a paste of Tavaksiri, Plaksha, Chandana Sandalwood,Gairika Red ochre and Amrita Tinospora mixed with ghee should be applied on the area ofburn and then therapies indicated for an abscess of Pitta origin should be adopted",Ashtanga Hridaya,30,99
What treatments are recommended for Atidagdha over burning and for burns caused by fats like hot oil or ghee according to Ayurveda?,"In case of Atidagdha over burning all the therapeutic measures prescribed for Visarpa of Pittaorigin should be done quickly.In case of burning by fats hot oil, ghee etc, measures which are very dry cause severe drynessshould be adopted",Ashtanga Hridaya,30,101
"Why is there a fresh impetus to issue an English translation of Sushruta Samhita, which covers essential Indian Therapeutics and encompasses the entire science of Ayurveda as understood and practiced by the Vedic sages?",Because many drugs of the Ayurvedic vlateria Medica have been adopted by different foreign systems of medicine.,Sushruta Samhitha,1,26
What is the structure of Charaka Samhita ?,"entire work into three volumes, the first containing only the Sutrasthanam, the second Xidanam, Sharira and Chikitsa, and the third Kalpa and Uttara Tantram.",Sushruta Samhitha,1,34
"Can you explain the identity of Sushruta and Divodasa, and if it's safe to assert that Sushruta was of the race of Vishvamitra according to The Mahabharata?",It is only safe to assert that Sushruta was of the raceof Vishvamitra. The Mahabharatam represents him as a son of that royal sage.,Sushruta Samhitha,1,40
"Were the great works of Charaka and Sushruta translated into Arabic, under the patronage of Kaliph Almansur, in the seventh century?",Yes,Sushruta Samhitha,1,62
Could you please explain to me where the origin of Ayurveda science lies?,"Indeed the origin of the science is lost in dim anti-quity. Death and disease there had been in the world since the advent of man ; it was by following the examples of lower animals in disease, that our primitive ancestors acquired by chance the knowledge about the properties of many valuable medicinal drugs. ",Sushruta Samhitha,1,68
"What is the Indian method for transplanting sensitive skin flaps, and who was the first to successfully demonstrate its feasibility for mending a dropped earlobe?","The transplanting of sensible skin-flaps is also an entirely. Indian method (Sushruta, Sutrasthanam, Ch. XV'I). It is Sushruta who first successfully demonstrated tlie feasibility of mending a dipt earlobe with a patch of sensitive skin-flap scraped from the neck or the adjoining part.",Sushruta Samhitha,1,78
"What methods did Sushruta recommend for abdominal and peritoneal wounds, lithotomic operations, instrumental parturition, and amputation in his Samhita, as compared to European chirurgery works on the same subjects?","Elaborate instructions have been given for making the perineal incision, care and general management of the patient after lithotomic operations, and instrumental parturition. For amputation, medicated wines were given to the patients as anesthetics. In cases of abdominal and peritoneal wounds, certain medicinal plasters were used to localise the shafts of arrows embedded in the limbs of wounded soldiers with precision. In a case of Shukra-shmari (seminal or spermatic concretion), Sushruta enjoins that the stone, if in the urethra, should be removed with the help of Anyvdsanam and urethral enematas, failing which the penis should be cut open and the concretion extracted with the help of a hook.",Sushruta Samhitha,1,82
"What procedures does this method cover for dealing with abscesses and wounds, including major surgeries?","opening of an abscess, and the healing of the incidental wound, but lays down processes for major operations as well.",Sushruta Samhitha,1,84
What were the practices followed in ancient India for the study of practical surgery?,"To give efficiency in surgical operations, the pupils of Dhan^antari(Sushruta etc.) were asked to try their knives repeatedly first on natural and artificial objects resembling the diseased parts of the body before undertaking an actual operation. Incision, for example, was practised on Pushpafala /cucerbeta maxima), Alavu (Longenaris Vulgaris) or Trapusha (cucmis pubescuas), evacuating on leatfier bags full of water and on the urinary bladders of dead animals, scarification on the hides of animals on which the hair was allowed to remain. Venesec- tion was practised on the vessels of dead animals and on the stalks of the water-lily: the art .of stuffing and probing on bamboo reeds etc.: extraction of solid bodies on Panasa (Artocarpus Integrifolia) and such like fruit, scraping on wax spread on a Shalmali (Bombox Malabaricum) plank, and suturing on pieces of cloth, skin or hide. Ligaturing and bandaging were practised on dummies, cauterisation (both actual and potential ) on pieces of flesh, and cathe- terisation on unbaked earthen vessels filled with water.",Sushruta Samhitha,1,90
What is the definition provided in the text regarding uterine tumours and the importance of studying practical anatomy?,extirpation of uterine excrescences and discourse on the necessity of observing caution in surgically operating upon uterine tumours (Raktarvudai. These facts should be borne in mind as thev would help us a good deal in account- ing for the numerous anomalies that are to be found in the anatomical portions of the Samhita. Study of Practical Anatomy :ÂWe have stated be- fore that tb.e quartered sacrificial animals afforded excellent materials for the framing of comparative anatomy.,Sushruta Samhitha,1,92
"Why did Sushruta's descriptions of the unions and locations of bones, ligaments, nerves, veins, and arteries need to be modified by subsequent commentators?","These modifications might have been made in order to conform them to occular proofs. Naturally in later and more ceremonial times, the interred corpses of infants, less than 2 years old, had to be unearthed and dissected for anatomical purposes; and these portions of the Sushruta Samhita might have been modified by the subsequent commentators.",Sushruta Samhitha,1,100
"What does Sushruta's theory of sexual diamorphism involve, and what Ayurvedic terms are necessary to understand it?","Sushruta's theory of sexual diamorphism involves the possibility of conception without proper sexual union, and the necessity to fully comprehend the meaning of such Ayurvedic terms on the subject as Ichchha Shakli (will-force), Shukra-Vahulyam (preponderance of the male reproductive element), and Shonita-Vahulyam (prepon-derance of the female reproductive element) etc. He also believed that distinction of sex has evolved from a primordial hermaphroditism.",Sushruta Samhitha,1,104
"What does Ayurvedic physiology recognize in a man's organism that helps him perform organic functions and keeps internal functions coordinated with environmental incidents, and what is the other set of apparatus attuned to?","The one helps him in performing the organic functions, which are so essential to his animal existence, and keeps intact the co-ordination of those inter-nal functions with the incidents of his environments. The other is attuned to the finer forces of nature.",Sushruta Samhitha,1,108
"Doctor, according to ancient Indian biologists, what is the theory regarding the role of reproductive cells in determining sexual diamorphism and fostering life evolution?","theory of preponderant katabolism or anabolism in the ovum as the determining factor of the sexual diamorphism to the extent that seeds or reproductive cells are the bearers and not the manufacturers of life, only containing those categories which foster life, and help its evolution into an organic being. To deny this would be to admit the chemi-cal, or physiological basis of life, which, as a theory, was never acceptable to the biologists of ancient India.",Sushruta Samhitha,1,112
"What is the origin of anatomical knowledge regarding vulnerable joints, nerves, and vein anastomoses, as well as the scientific system of wrestling, according to the provided text?","The origin of anatomical knowledge regarding vulnerable joints, nerves, and vein anastomoses, as well as the scientific system of wrestling, is traced back to ancient India, particularly in the light of Sushruta Samhita and Charaka Samhitas. It is also suggested that a system of scientific wrestling may have been carried by Buddhist missionaries from India to Japan, which was subsequently developed into modern Japanese Jiujitsu.",Sushruta Samhitha,1,118
What does the term 'Pittam' in Sanskrit represent according to Ayurveda?,principles from an observed similarity in their nature and functions. Pittam in Sanskrit means both bile and meta-bolism of tissues as well as the bodily heat which is the product of the latter.,Sushruta Samhitha,1,126
"What is Pittam according to Ayurveda classical texts, and where is it located primarily for digestion?","Pittam is the heat incarcerated in the bile, and the principal agent in performing digestion . Being a liquid fire or fluid heat, it is primarily concerned in digesting the four kinds of food (as they meet it in the abdomen), and it is situated in the region between the stomach and the intestines as Pachakagni, which is also incarcerated in the secre-tions of the liver (bile).",Sushruta Samhitha,1,128
"Where is the colouring matter of the Ijilc derived from and closely related to, according to Kirk's Physiology?","The colouring matter of the Ijilc is derived from and is closely related to that of blood, since the qualities of the bile pigment secreted are markedly increased by the injection of substances into the veins which are capable of setting free haemoglobin Kirk's PhysiologyÃ¢ÂÂ(Metabolism in the liver.) Ch. XII. p. 505.",Sushruta Samhitha,1,132
"What is the fifth entity in my skin, doctor?",The fifth is the Bhrajakagni or the Pittam in the skin,Sushruta Samhitha,1,133
What is Pittam and what role does it play in the human body according to the classical text?,"Pittam is a bodily principle that produces perspiration or hefps exudations from the skin by evaporation. In short, it keeps active, under certain circumstances, the secretions from the sweat and sebaceous glands of the human skin.",Sushruta Samhitha,1,134
"Are the Dhatvagnis (protoplasm) of the muscle and arteries the same, as per the Ayurvedic text?","No, according to the Ayurvedic text, the Dhatvagnis (protoplasm) of the muscle are not of the same kind as that of the arteries.",Sushruta Samhitha,1,144
"What does the text explain about Vayu, Pittam and Kaphah in Ayurveda?","The text explains that Vayu, Pittam and Kaphah in Ayurveda are principles that sustain life and the organism. They can be transformed into the dynamics of disease, and their grosser products fall within the sphere of morbid anatomy. A real knowledge of these principles may provide a deeper insight into true biology or pathology.",Sushruta Samhitha,1,146
"Doctor, can you tell me about the human organism's common elements that are responsible for producing fat and sugar as important oxidizing materials?","human organism any such common element that produces either of these two important oxidising materials, viz. fat and sugar.",Sushruta Samhitha,1,153
Is glycogen found only in the liver?,"No, glycogen is found in other tissues and organs besides in the liver. Tissues of embryos and of young animals as well as newly formed pathological growths may be said to contain glycogen.",Sushruta Samhitha,1,155
"According to Sushruta, what are the forms in which medicines should be given, and when should the different drugs like roots and leaves be collected?","with their habits and habitats. Forms of medicine:ÂPowders, lambatives, decoctions as well as medicated oils, Ghritas, confection and wines are the forms in '-hich, according to Sushruta, medicines should be given. The different di ugs such as roots, leaves, etc. should be culled in the seasons proper to each.",Sushruta Samhitha,1,163
What was reclassified and how many different kinds were created for it?,Reclassified the soil into five different kinds for the purpose,Sushruta Samhitha,1,164
"What is the prognosis based on, according to Ayurveda?",Prognosis based on the perversion of the external appearances,Sushruta Samhitha,1,192
What are the eight different branches of Ayurveda as described by Dhanvantari in Sushruta Samhita?,"The eight different branches of Ayurveda as described by Dhanvantari in Sushruta Samhita are: The Salya-Tantram, the Salakya-Tantram, the Kaya-Chikitsa, the Bhuta-Vidy.i, the KauniHr-Bhrityci, the Agada-Tantram, the Rusa""ana-Tantram and the 'ajeekarana-Tantram.",Sushruta Samhitha,1,199
"Why are all medical acts such as surgical operations, administration of medicinal remedies, applications of alkaline substances, or cauterisation restricted only to the Piirusha (self-conscious individual) in Ayurveda?","The created world is composed of two distinct classes, such as the mobile and the immobile. These two classes are further sub-divided for the purposes of the science of medicine into the two orders, Agneya hot and Saumya (cool). Hence the world is composed of five material principles, though characterised by the twofold virtues, Agneya (hot) and Saumya (cool).",Sushruta Samhitha,1,205
"What is the receptacle of health and disease in contradistinction to the Self or Ego, and what categories do plants and animals belong to according to this text?","alone is the receptacle of health and disease in contradistinction to the Self or Ego. The vegetable world belongs to the latter category, while 'animals, possessed of locomotion, belong to the former.",Sushruta Samhitha,1,207
What are the four different types of diseases according to Ayurveda as per the provided sentence?,"The four different types of diseases according to Ayurveda are Traumatic or of extraneous origin (Agantuka), Bodily (Sharira), jNfenla] (Manasa) and Natural (Svabhavika).",Sushruta Samhitha,1,209
"What are the different categories of plants according to Ayurveda, as defined in the provided sentence?","are called the Vanaspatis such as, the Plaksha and the Oudumvura). Those that bear both fruits and flowers are called the 'rikshas. Shrubs and creepers that trail on the ground are called Virudhas, whereas those plants which die with the ripening of their fruits, are called Oshadhis proper such as cereals.",Sushruta Samhitha,1,213
"What are the four classes described in the text, and from where are various substances obtained for medicinal purposes and other uses?","The four classes are: the viviparous (man and other mammals), the oviparous (birds, snakes, reptiles), the sweat-begotten (ants, worms, etc.), and those born of decomposed vegetable matter. For medicinal purposes, substances like bark, leaves, flowers, fruits, roots, bulbs, expressed juice, milky or resinous secretions of plants are obtained from the vegetable world. Substances like oil, seeds, ashes or alkaline preparations are obtained from the same and diuts (oil-bearing plants). Animal substances like skin, nails, wool, blood, flesh, fat, marrow, bones are procured from the animal world. Metals and minerals such as gold, silver, gems, Manahshilai Realgar), pearls, clay, Kapalas (bones) should be included in the list of earthy substances.",Sushruta Samhitha,1,215
What is the meaning of 'the combination of its five material components' in the context of a human body?,"meaning the combination of its five material com- ponents, and all things resulting therefrom, such as the limbs and members of the body, as well as the skin, the flesh, the blood, the veins and the nerves, etc.",Sushruta Samhitha,1,217
What does the term 'Disease' mean according to the text?,The term Disease signifies all distempers incidental,Sushruta Samhitha,1,218
What are the requirements for a pupil to undergo formal initiation into the science of Medicine (Shishyopanayaniya-madhya'yam) according to the Susruta Samhita?,"The pupil should belong to one of the three twice-born castes such as, the Brahmana, the Kshatriya, and the Vaishya. He should be of tender years, born of a good family, possessed of, a desire to learn_, strength^ energy of action, contentment, character, self-control, a good retentive memory, intellect, courage, purity of mind and body, and a simple and clear comprehension, commanding a clear insight into the things studied. He should also be further graced with the necessary qualifications of thin lips, thin teeth and thin tongue, possessed of a straight nose, large, honest, intelligent eyes, with a benign contour of the mouth, and a contented frame of mind, being pleasant in his speech and dealings, and usually painstaking in his efforts. Aman possessed of contrary attributes should not be admitted into the sacred precincts of medicine.",Sushruta Samhitha,1,221
"Can a Shudra student of good character and noble lineage be initiated into the mysteries of Ayurveda without reciting certain Mantras, if my caste is not Vaishya but my preceptor is?",A Shudra student of good character T.nd parentage may be initiated into the mysteries of the A5'urveda by omitting the Mantras enjoined to be recited on such an occasion.,Sushruta Samhitha,1,225
"What does Ayurveda involve according to the Sushruta Samhita, Chapter III?","Ayurveda involves classification and order of the study of Ayurveda, general interpretations and explanations of subjects studied, preliminary preparations for surgical operations, seasons and their influence on health and drugs, surgical appliances, descriptions of surgical instruments, practical instructions for surgical operations, duties of medical men preliminary to their commencing practice, pharmacy of alkalies (potential cauteries), cauteries and the rules to be observed in their use, leeches how and which to use, blood, study of development and non-development of the humorous constituents of the body and excrements, the ceremony of piercing the lobules of the ears, distinguishing between suppurating and non-suppurating swellings, dressings and bandages of ulcers, management of patients with ulcers, salutary and non-salutary effects of regimen, decisive modes in the treatment of sores, opening of abscesses, general rules to be observed in the treatment of curable and incurable surgical diseases, nature of diseases in general, ways of using surgical instruments, exploration of splinters lost in the body, extraction of splinters, favourable and unfavourable terminations in surgical diseases, prognosis from messengers, omens and dreams, per-version of sense perception, altered condition of features, perversion in the external appearances of the body, palliative treatment of incurable diseases, precautions to be taken against dangers by a medical man for the safety of a king whose army is on the march, clinical observations made by physicians, miscellaneous subjects connected with the treatment of injuries and surgical diseases, examination of the soil for the selection of vegetable products growing on it to be used as medicines, classification of drugs according to their therapeutical uses, two classes of drugs which cleanse the system [by evacuating bad humours] and drugs which pacify the irritated humours, properties of drugs specially considered, flavors, choice of emetics, choice of purgatives, liquids, food and drink. From their investigation of the pathological causes and symptoms of diseases, they are called Nidananij (etiology) and are sixteen in number. Chapter i of Sushruta Samhita also discusses causes and symptoms of diseases caused by wind, including hemorrhoids, urinary calculi, fistulas, skin diseases, urethral discharges, abdominal tumors and dropsy, abortion and unnatural labors, abscesses, erysipelas and carbuncles, tumors, scrotal tumors, fractures and dislocations, diseases of the male organ of generation caused by Shuka, minor and miscellaneous diseases, and diseases of the mouth.",Sushruta Samhitha,1,233
"What are the four divisions of Ayurveda that have been included in the last division (Chikitsa), as per the great sages'?","The four divisions of Ayurveda that have been included in the last division (Chikitsa) are Shalakyam (treatment of diseases of parts situated above the clavicles), 2 Kaumarabhrit^'am (management of children), 3 Kayachikitsa (general diseases) and 4 Bliuta-Vidya.",Sushruta Samhitha,1,241
What are the three subheads that group the entire course of medical treatment in relation to a disease according to Agropaharaniyam-adhyaryam?,"The entire course of medical treatment in connection with a disease has grouped under three subheads, as the Preliminary measures (Purva-karma) ; the Principal therapeutical or surgical appliances (Pradhana-karma); and the After-measures (Paschat- karma).",Sushruta Samhitha,1,262
"Doctor, how many categories are surgical acts or operations divided into?",Surgical acts or operations are divided into eight catagories.,Sushruta Samhitha,1,263
"What are the steps to ensure a good outflow of accumulated pus as mentioned in The Susruta Samhita, Chapter V?","The steps include rubbing the margins of the wound with fingers to have a level surface and uniform structure throughout. Then, washing the wound with an astringent decoction (of Nimba, Triphala, etc.), wiping it dry with clean linen. After that, a lint plug 'Varti' plastered over with Kalka of sesamum, honey and clarified butter, soaked in disinfectant, should be inserted deep into the cavity of the wound. A poultice made of official substances should be applied over it and the whole should be bound up with thick layers of tow (such as the leaves and bark of the Indian figtree etc.) which are neither too irritant nor too cooling in their effect. Finally, scraps of clean linen should be wound round them. Subsequently, the limb or affected part should be fumigated with pain-killing substances and drugs which are supposed to ward off all malignant spirits. The fumigating corpound should be collected, and rubbed over the region of the heart and other vital parts of the patient. The floor of the chamber should be washed and sprinkled over with drops of water kept in a new pitcher for the purpose.",Sushruta Samhitha,1,272
What is the description given for the time units in Ayurveda?,"Akshi-Nimesha. Fifteen Akshi-Nimeshas make one Kashtha. Thirty Kashthas make one Muhurta. Thirty Muhurtas make one day and night. Fifteen days and nights make one fort- night. A fortnight is either dark or bright. Two fort- nights make one month. The twelve months such as, Magha, etc. are divided into six seasons such as. Winter, Spring, Summer, Rains, Autumn and Hemanta, each consisting of two months.",Sushruta Samhitha,1,286
What are the names of the two months being referred to?,The two months known as Tapas and Tapasva,Sushruta Samhitha,1,287
'What seasons does Ayurveda consider as winter?',Magha and Phalgunai constitute the season of winter.,Sushruta Samhitha,1,288
What is Sanihit^?,Sanihit^ which treats of the characteristic features of the seasons and their influence on health and drugs.,Sushruta Samhitha,1,306
"Doctor, how many surgical instruments are there according to the text?",One hundred and one surgical instruments,Sushruta Samhitha,1,310
What are the Nadi Yantras and what are they used for in relation to my external channels or passages of the body?,"The Nadi Yantras tubular instruments like syringe, enemas, etc, with a passage or aperture running through their entire .length^ are constructed in a variet}' of shapes and for various purposes. Some of them are open at one end, while others are open at both. These instruments are used for the purpose of extracting any shalyam that has pricked into the external canals or passages of the body, or for inspecting the seat of affection as in piles, etc., or for sucking (blood, etc. from any affected part, or simply as accessories to other surgical appliances. The length and circumference of a Nadi Yantra should be made to commensurate with those of the passage 'Srota'i or outlet of the human system into which it is intended to be introduced.",Sushruta Samhitha,1,321
What are the Shalaka-Yantras bougies used for and what do they look like according to the Susruta Samhita?,"The Shalaka-Yantras bougies are used for various purposes such as fistula in ano, piles, etc., tumours and ulcers, Mutradvriddhi (Hydrocele), Niruddha Prakasha (Phimosis), Niruddha Guda 'Stricture of the rectum', ascites, injecting anything into the urethra, bowels, vagina and uterus, medicated inhalation, Alavu Yantras (gourd used for cupping), withdrawing foreign matter from any outer canal of the body, cleansing pus from an affected part, applying alkaline medicines, and cauterisation (Agni-Karma). Their shapes and sizes vary according to necessity. The mouths of some resemble Gandupada earthworm, Sharapunkha Tephrosia Purpurea, serpent's hood, fish hook, lentil seed, Jamboline fruit, half of the kernel found in the inside of a Jujube-stpne, ladles, and small stone mortars (Khala). Some are bent down a little and have loose cotton on their top-ends.",Sushruta Samhitha,1,323
Which substances are used to temper specific surgical instruments according to Ayurveda classical texts as mentioned in The Susruta Samhita?,"Instruments used in cutting an arrow, a bone, or any foreign matter (Shalyami pricked into the human body) should be tempered with alkali. Those that are made use of in cutting, cleaving, and lopping off the flesh from an affected part should be tempered with water. Instruments used in opening Vyadhanam) a vein (Shira) or in cutting open a nerve .Sna)^!: should be tempered with oil, and should be whetted upon a species of stone-slab resembling a Masha pulse in colour.",Sushruta Samhitha,1,338
What is the procedure for preparing a potent alkali with three different potencies according to the Sushruta Samhita?,"A physician wishing to prepare such an alkali, should first purify his body and mind, and observe a day in autumn marked by auspicious astral combinations. Then he should ascend the brow of a hill, select a full grown Ashita-mushka (Ghanta paruli tree of middle age, and growing on soil recommended in the works on pharmacy and not anywise affected), invoke its spirit, fell it, perform the Homa ceremony with thousands of white and red flowers, burn the wood to ashes, dissolve the ashes in six Drona measures of pure water or cow's urine, filter twenty-one times, boil the filtered alkaline water, take out a Kudava measure and a half (12 Palas) of the saturated or alkaline water, burn substances like Kata-Sharkara, ashes of burnt limestone, Kshirapakas (fresh water oysters), and Sankhanabhi red hot, and immerse them in the set aside alkaline water.",Sushruta Samhitha,1,362
"What type of substance, having a fiery virtue and heat-making potency, does not augment the effects of an alkali but instead subdues them?","substances of all tastes enter into the composition of an alkali except the acid one. The pungent (Katu: taste is the principal taste of an alkali, while the saline :Lavana forms its minor or accessory flavour LAnurasa). Xow this saline taste in conjunc- tion with the acid one renounces its extremely sharp or irritating property and is thus transformed into one of sweetness or of soothing virtue. Hence it is that an acid taste tends to alla)^ the burning incidental to an application of alkali (potential caustic) in the same way as water tends to put out fire.",Sushruta Samhitha,1,370
"If I am experiencing oedema of the limbs, bone-ache, a disease affecting my joints or heart, or have lost appetite and taste for food despite other indications, what should I be aware of regarding Alkali?","An Alkali administered by an ignorant physician is to be dreaded more than poison, fire, blows with a weapon, thunder-bolts, or death itself ; while in the hand of an intelligent physician it is potent enough to speedily subdue all serious diseases in which its use is indicated.",Sushruta Samhitha,1,376
"What are the four distinct types of burns described in the text, their characteristics, and recommended treatments?","The four distinct types of burns are: 
1. Plushtam: characterised by discolouring of its seat and extreme burning with the absence of any vesicle or blister.
2. Dur-Dagdham (bad burn or scald): characterized by the eruption of large vesicles or blisters, red colour, excessive burning, a kind of drawing pain, suppuration, and a long healing time.
3. Samyag-Dagdham (fully burnt one): not deep and assumes the colour of a ripe Tala fruit, does not present a raised or elevated aspect, and develops the preceding symptoms.
4. Ati-Dagdham (over burnt one): in which the flesh hangs down, veins, nerves, and bones are destroyed, accompanied by fever, burning, thirst, fainting, permanent disfiguration of the body, retarding healing of the incidental ulcer which leaves a discoloured cicatrix even after healing.
For Plushtam type burns: hot and dry fomentations, warm plasters, and a course of hot food and drink are recommended.
For Dur-Dagdham, Samyag-Dagdham, and Ati-Dagdham types: the measures already laid down before should be applied to heal these burns.",Sushruta Samhitha,1,388
What treatment should be adopted for someone overpowered with smoke according to The Susruta Samhita (Chap. XII)?,"Emetics in the shape of clarified butter mixed with sugarcane juice or milk saturated with the juice of grapes, or lumps of sugar-candy dissolved in an adequate quantity of water, or any acid potion slightly sweetened, should be administered. The contents of the stomach are speedily discharged by vomiting; the distension of the abdomen is removed ; the smell of smoke in the breath is mitigated, and the accompanying fever with (its concomitants) of sneezing, languor, thirst, cough, laboured breathing etc. is abated, and the patient is restored to consciousness. Gargles having a sweet, saline, acid or pungent (katu) taste restore the sense-perception of the patient, and gladden his mind. Medicated snuffs in adequate quantities should be administered by a well-read physician to such a patient, whereby his head, eyes and neck would be able to resume their normal functions. And a course of diet, which is light, emollient and not acid in its reaction, should be prescribed.",Sushruta Samhitha,1,392
What does the term 'Gochandana' refer to according to Susruta Samhita?,Leeches which are provided with narrow mouths and are marked by bifurcating line at the bottom like the scrotal sac of a bull.,Sushruta Samhitha,1,402
"What are the processes used to manage bleeding, according to Ayurveda?","bleeding are known ; as the Sandhanam (process by contracting the affected part), the Skandanam (thickening or congealing the local blood), the Pachanam (process of setting up suppuration in the wound) and the Dahanam (process of cauterisation).",Sushruta Samhitha,1,436
"If I experience symptoms such as fever, burning pain, swelling, numbness of tendons forming the nape of the neck, tetanus, headache or ear-ache after getting my lobes pierced, could it be due to the needle passing through a place other than the natural (and closed up) fissure described above?","Yes, symptoms such as fever, burning pain, swelling, numbness of tendons forming the nape of the neck, tetanus, headache or ear-ache may be due to the needle passing through a place other than the natural (and closed up) fissure described above.",Sushruta Samhitha,1,500
"What are the fifteen different kinds of procedures mentioned in Ayurveda's Sushruta Samhita for dealing with issues related to the ears, and what are the conditions under which each should be applied?","divided into fifteen different kinds, viz., the Nemi- sandhdnaka, the Utpala-Bhedyaka the Valluraka, the Asangima, the Ganda-karna, the Aharyaya, the Nirve- dhima, the Vyayojima, the Kapata-sandhika, theArdha- kap^ta-sandhika, the Samkshipta, the Hina-karna, the Vallikarna, the Yasthi-karna, and the Kakaushthaka. 144'^^^ SUSHRUTA SAMHITA. [Chap. XVI. Out of these, the process, known as the Nemi- sandhanaka, should be used in cases where each of the bifurcated lobes of the ears would be found to be thick, extended, and equal in size. The process, known as the Utpala-Bhedyaka, should be used in cases where the severed lobes of the ears would be found to be round, extended, and equal in dimensions. The process, Valluraka should be resorted to in cases where the severed lobes of the ears would be found to be short, circular and equal in size. The process, known as the Asangima, should be adopted in cases where the anterior surface of one of these severed appendages would have a more elongated shape than the other. The process, known as the Ganda-Karna, consists in slicing off a patch of healthy flesh from one of the regions of the cheeks and in adhering it to one of the severed lobes of the ears which is more elongated on its anterior side than the other (Plastic-operations). In the case of extremely short lobes, the flesh should be cutoff from both the cheeks and adhered to them, the process being known as the Aharyaya. The lobes of the ears which have been completely severed fromtheir roots are called Pithopamas. The process known as the",Sushruta Samhitha,1,502
"What is Kapata-Sandhika and Ardha-Kapata-Sandhika, as described in Sutrasthanam 145 of Ayurveda?","made use of in cases where one of the bifurcated 1 Chap. XVI. ] SUTRASTHANAM. 145 lobes of the ear should be found to be dissimilar to the other as regards its. thickness or thinness. The process known as Kapata-Sandhika consists in bring- about an adhesion, on the posterior side, between one of the bifurcated lobes and another, which is elongated on the anterior side of the ear. The adhesion is so called from the fact of its resembling the closing of the two leaves of a door 'Kapatam). The process knoWn as the Ardha-Kapata-Sandhika consists in bring- about an adhesion on the anterior side between the shorter one of the two parts of a bifurcated ear- lobe with the part, elongated on the posterior side, like a half-closed door.",Sushruta Samhitha,1,506
"Can you explain the processes Samkhiptam, Hina-karna, and Vallikarna mentioned in Ayurveda's Susruta Samhita, Chapter XVI, as they are indicated for specific ear conditions?","successfully brought about and their shapes can be easily pictured from the meanings of their respective names. The remaining five sorts such as the Samkhiptam etc., are seldom attended with success and hence are called impracticable (Asadhayas'. The process Samkhiptam has its scope in the case where the auricle (^Shashkuli) has been withered up and one of the bifurcated lobes is raised, the other being reduced and shortened. The process of Hina-karna should be adopted in cases where the supporting rim of the lobe (pinna) has been entirely swept awayandits exterior sides and the cheeks are sunk and devoid of flesh. Similarly the adhesive 19 146 THE SUSHRUTA SAMHITA. [ Chap. XVI. process known as the Vallikarna is indicated in cases where the lobes are short, thin and unequal.",Sushruta Samhitha,1,508
